S. No,First Name,Last Name,DOB,Address,Arrival,Departure
1,Ashish,Tiwari,02/11/1999,"Varanasi, UP, India",02-02-2020,5-02-2020
2,Zadir,Ahmed,10-03-92,"Jorhat, Assam India",4/2/20,11-02-2020
3,Priyanka,Parasar,03-13-1986,"Guwahati, Assam, India",11-02-2020,15/2/20
4,Robert,Smith,12/2/99,"Greenwich, London, UK",12-02-2020,13-02-2020
5,Lana,White,23-01-2000,"Ontario, Canada",19-02-2020,23-02-2020
6,John,Williams,28-07-98,"Fremont, California",20-02-2020,22-02-20
7,Ram,Mishra,1/1/87,"Shimla, India",21/2/2020,27-02-2020
8,Rana,Singh,12-03-2001,"Ajmer, Rajasthan",21-02-2020,23-02-2020
9,Kuldeep,Kumar,NA,"Indore, Madhya Pradesh",23-02-2020,01-03-2020
10,Jane,Atkinson,16/06/1969,"Melbourne, Australia",03-03-2020,10/3/20
11,Jennifer,Perkins,05-10-1990,"Lima, Peru",16-03-2020,17/3/2020
12,Sam,Rogers,31-01-1983,"La Plata, Argentina",16/3/2020,20-03-2020
13,Ayush,Bhatt,09/02/1996,"Ahmedabad, Gujarat",28-03-2020,03-04-2020
14,Pooja,Sharma,26-06-1982,"Dibrugarh, Assam",5/4/20,13-04-2020
15,Souvik,Baruah,03-03-99,"New Delhi, India",14-04-2020,16-04-2020
16,Rohit,Bajaj,NA,"Bandra, Mumbai",20-04-2020,22-04-2020
17,Shreya,Pandey,10-02-1998,"Andheri, Mumbai",29-04-2020,6/5/2020
18,Rex,Ross,25/01/1993,"Pretoria, South Africa",06-05-2020,9/5/2020
19,Payal,Dubey,23-04-98,"Tezpur, Assam",19-05-2020,20-05-2020
20,Farhina,Ahmed,24-05-99,"Sivsagar, Assam",01/06/2020,03-06-2020
21,Aritra,Kaushik,1/1/2001,"Garmur, Jorhat",18-05-2020,23-06-2020
22,Pijush,Bhuyan,17-09-1965,"Bikaner, Rajasthan",19-05-2020,21-05-2020
23,Charles,Wilson,NA,"Queens, NYC",27-05-2020,28-05-2020
24,James,Moore,13-11-1959,"Brooklyn, NYC",08-06-2020,11-06-2020
25,Brent,Rivera,03/10/1969,"Dubai, UAE",10-06-2020,12-06-2020
